Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Request,,,,2019-06-03 17:06:51,2019-06-03 17:07:02,10.760s,FAILED
,,,,,,,
Test Cases/Request/GetRequest_view,,,,2019-06-03 17:06:51,2019-06-03 17:06:56,5.040s,FAILED
"getRequest_view = sendRequest(findTestObject(""Request/GetRequest_view""))",,,,2019-06-03 17:06:52,2019-06-03 17:06:55,3.005s,PASSED
"verifyResponseStatusCode(getRequest_view, 200)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.010s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_id"", 1)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.102s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.agency_id"", 31)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.035s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.agency_name"", ""The Coffee House - Chi nhánh số 1"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.044s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.agency_address"", ""88 Ngô Tất Tố, Quận Bình Thạnh"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.053s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_category_id"", 3)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.016s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.service_id"", 1)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.037s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.service_name"", ""WIFI"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.033s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.service_item_id"", 6)",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.064s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.service_item_name"", ""Wifi chậm"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.017s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_name"", ""The Coffee House - Chi nhánh số 1 - Wifi chậm"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.030s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_description"", ""acd"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.049s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.agency_phone"", ""0397934468"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.043s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.create_date"", ""2019-02-16 09:47:57"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:55,0.036s,FAILED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.update_date"", ""2019-05-29 15:48:25"")",,,,2019-06-03 17:06:55,2019-06-03 17:06:56,0.040s,FAILED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.start_time"", ""2019-04-02 00:00:00"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.028s,FAILED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.end_time"", ""2019-04-16 09:45:37"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.044s,FAILED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_status_value"", 0)",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.042s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.it_supporter_name"", ""Lê Thị Ẫn"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.011s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.it_supporter_phone"", ""0928374564"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.045s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.rate"", ""6"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.031s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.priority_value"", ""3"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.051s,PASSED
"verifyElementPropertyValue(getRequest_view, ""ObjReturn.request_problem"", ""string"")",,,,2019-06-03 17:06:56,2019-06-03 17:06:56,0.019s,PASSED
